Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,60,RL,75.0,10000,1,No,2,Lvl,2,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0.0,2,2,PConc,4.0,3.0,1,1,0.0,1,0.0,763.0,763.0,GasA,3,1,4,763,892,0,1655,0.0,0.0,2,1,3,1,2,7,7,1,3.0,Attchd,1993.0,3,2.0,440.0,3.0,3.0,2,157,84,0,0,0,0,0.0,0,,0,4,2010,WD ,Normal,175900
12,527165230,20,RL,,7980,1,No,2,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,,0.0,2,3,PConc,4.0,3.0,1,5,935.0,1,0.0,233.0,1168.0,GasA,4,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,2,6,7,0,0.0,Attchd,1992.0,3,2.0,420.0,3.0,3.0,2,483,21,0,0,0,0,0.0,4,Shed,500,3,2010,WD ,Normal,185000
13,527166040,60,RL,63.0,8402,1,No,2,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,PConc,4.0,3.0,1,1,0.0,1,0.0,789.0,789.0,GasA,3,1,4,789,676,0,1465,0.0,0.0,2,1,3,1,2,7,7,1,4.0,Attchd,1998.0,3,2.0,393.0,3.0,3.0,2,0,75,0,0,0,0,0.0,0,,0,5,2010,WD ,Normal,180400
14,527180040,20,RL,85.0,10176,1,No,3,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0.0,2,2,PConc,4.0,3.0,4,6,637.0,1,0.0,663.0,1300.0,GasA,3,1,4,1341,0,0,1341,1.0,0.0,1,1,2,1,3,5,7,1,1.0,Attchd,1990.0,1,2.0,506.0,3.0,3.0,2,192,0,0,0,0,0,0.0,0,,0,2,2010,WD ,Normal,171500
15,527182190,120,RL,,6820,1,No,2,Lvl,2,Corner,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0.0,3,2,PConc,4.0,3.0,3,6,368.0,4,1120.0,0.0,1488.0,GasA,2,1,4,1502,0,0,1502,1.0,0.0,1,1,1,1,3,4,7,0,0.0,Attchd,1985.0,2,2.0,528.0,3.0,3.0,2,0,54,0,0,140,0,0.0,0,,0,6,2010,WD ,Normal,212000
16,527216070,60,RL,47.0,53504,1,No,1,HLS,2,CulDSac,1,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,4,2,PConc,4.0,3.0,4,5,1416.0,1,0.0,234.0,1650.0,GasA,4,1,4,1690,1589,0,3279,1.0,0.0,3,1,4,1,4,12,4,1,4.0,BuiltIn,2003.0,3,3.0,841.0,3.0,3.0,2,503,36,0,0,210,0,0.0,0,,0,6,2010,WD ,Normal,538000
17,527225035,50,RL,152.0,12134,1,No,2,Bnk,2,Inside,1,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,2,Wood,4.0,3.0,3,6,427.0,1,0.0,132.0,559.0,GasA,3,1,4,1080,672,0,1752,0.0,0.0,2,0,4,1,2,8,7,0,0.0,Basment,1988.0,2,2.0,492.0,3.0,3.0,2,325,12,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,164000
18,527258010,20,RL,88.0,11394,1,No,3,Lvl,2,Corner,2,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,3,2,PConc,5.0,3.0,3,6,1445.0,1,0.0,411.0,1856.0,GasA,4,1,4,1856,0,0,1856,1.0,0.0,1,1,1,1,4,8,7,1,5.0,Attchd,2010.0,3,3.0,834.0,3.0,3.0,2,113,0,0,0,0,0,0.0,0,,0,6,2010,New,Partial,394432
19,527276150,20,RL,140.0,19138,1,No,3,Lvl,2,Corner,2,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,CBlock,3.0,3.0,1,2,120.0,1,0.0,744.0,864.0,GasA,4,1,4,864,0,0,864,0.0,0.0,1,0,2,1,2,4,7,0,0.0,Detchd,1951.0,1,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,141000
20,527302110,20,RL,85.0,13175,1,No,3,Lvl,2,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,2,2,CBlock,4.0,3.0,1,5,790.0,3,163.0,589.0,1542.0,GasA,2,1,4,2073,0,0,2073,1.0,0.0,2,0,3,1,2,7,6,2,3.0,Attchd,1978.0,1,2.0,500.0,3.0,3.0,2,349,0,0,0,0,0,0.0,3,,0,2,2010,WD ,Normal,210000
21,527358140,20,RL,105.0,11751,1,No,2,Lvl,2,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,2,2,CBlock,4.0,3.0,1,4,705.0,1,0.0,1139.0,1844.0,GasA,4,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,2,7,7,1,3.0,Attchd,1977.0,2,2.0,546.0,3.0,3.0,2,0,122,0,0,0,0,0.0,3,,0,1,2010,COD,Normal,190000
22,527358200,85,RL,85.0,10625,1,No,3,Lvl,2,Inside,2,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,2,2,CBlock,4.0,3.0,4,6,885.0,2,168.0,0.0,1053.0,GasA,2,1,4,1173,0,0,1173,1.0,0.0,2,0,3,1,3,6,7,2,3.0,Attchd,1974.0,2,2.0,528.0,3.0,3.0,2,0,120,0,0,0,0,0.0,3,,0,1,2010,WD ,Family,170000
23,527368020,60,FV,,7500,1,No,3,Lvl,2,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,3,2,PConc,4.0,3.0,1,6,533.0,1,0.0,281.0,814.0,GasA,4,1,4,814,860,0,1674,1.0,0.0,2,1,3,1,3,7,7,0,0.0,Attchd,2000.0,2,2.0,663.0,3.0,3.0,2,0,96,0,0,0,0,0.0,0,,0,1,2010,WD ,Normal,216000
24,527402200,20,RL,,11241,1,No,2,Lvl,2,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,2,CBlock,3.0,3.0,1,5,578.0,1,0.0,426.0,1004.0,GasA,4,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,2,5,7,1,3.0,Attchd,1970.0,3,2.0,480.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,Shed,700,3,2010,WD ,Normal,149000
25,527402250,20,RL,,12537,1,No,2,Lvl,2,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,CBlock,3.0,3.0,1,6,734.0,1,0.0,344.0,1078.0,GasA,4,1,4,1078,0,0,1078,1.0,0.0,1,1,3,1,2,6,7,1,2.0,Attchd,1971.0,3,2.0,500.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,4,2010,WD ,Normal,149900
26,527403020,20,RL,65.0,8450,1,No,3,Lvl,2,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,CBlock,3.0,3.0,1,4,775.0,1,0.0,281.0,1056.0,GasA,4,1,4,1056,0,0,1056,1.0,0.0,1,0,3,1,2,6,7,1,2.0,Attchd,1968.0,1,1.0,304.0,3.0,3.0,2,0,85,184,0,0,0,0.0,0,,0,7,2010,WD ,Normal,142000
27,527404120,20,RL,70.0,8400,1,No,3,Lvl,2,Corner,2,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,,0.0,2,2,CBlock,3.0,3.0,1,5,804.0,3,78.0,0.0,882.0,GasA,2,1,4,882,0,0,882,1.0,0.0,1,0,2,1,2,4,7,0,0.0,Attchd,1970.0,3,2.0,525.0,3.0,3.0,2,240,0,0,0,0,0,0.0,3,,0,4,2010,WD ,Normal,126000
28,527425090,20,RL,70.0,10500,1,No,3,Lvl,2,FR2,2,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,2,2,CBlock,3.0,3.0,1,5,432.0,1,0.0,432.0,864.0,GasA,2,1,4,864,0,0,864,0.0,0.0,1,0,3,1,2,5,7,1,1.0,,,0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0,0,,0,4,2010,ConLI,Normal,115000
29,527427230,120,RH,26.0,5858,1,No,2,Lvl,2,FR2,2,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,3,2,PConc,4.0,3.0,1,6,1051.0,4,0.0,354.0,1405.0,GasA,4,1,4,1337,0,0,1337,1.0,0.0,2,0,2,1,3,5,7,1,2.0,Attchd,1999.0,3,2.0,511.0,3.0,3.0,2,203,68,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,184000
30,527451180,160,RM,21.0,1680,1,No,3,Lvl,2,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,2,2,CBlock,3.0,3.0,1,3,156.0,1,0.0,327.0,483.0,GasA,2,1,4,483,504,0,987,0.0,0.0,1,1,2,1,2,5,7,0,0.0,Detchd,1971.0,1,1.0,264.0,3.0,3.0,2,275,0,0,0,0,0,0.0,0,,0,2,2010,COD,Normal,96000
31,527451330,160,RM,21.0,1680,1,No,3,Lvl,2,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,2,2,CBlock,3.0,3.0,1,3,300.0,1,0.0,225.0,525.0,GasA,2,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,2,6,7,0,0.0,Detchd,1997.0,1,1.0,320.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,3,2010,WD ,Normal,105500
32,527451410,160,RM,21.0,1680,1,No,3,Lvl,2,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,2,2,CBlock,3.0,3.0,1,1,0.0,1,0.0,525.0,525.0,GasA,2,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,2,6,7,0,0.0,Detchd,1971.0,1,1.0,264.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,3,2010,WD ,Family,88000
33,527452190,120,RL,53.0,4043,1,No,3,Lvl,2,Inside,2,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,,0.0,2,2,CBlock,4.0,3.0,1,5,360.0,1,0.0,709.0,1069.0,GasA,2,1,4,1069,0,0,1069,0.0,0.0,2,0,2,1,2,4,7,1,2.0,Attchd,1977.0,2,2.0,440.0,3.0,3.0,2,0,55,0,0,165,0,0.0,0,,0,7,2010,WD ,Normal,127500
34,527453130,160,RL,24.0,2280,1,No,3,Lvl,2,FR2,2,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0.0,2,2,CBlock,3.0,3.0,1,5,514.0,1,0.0,341.0,855.0,GasA,2,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,3,6,7,1,3.0,Attchd,1975.0,1,2.0,440.0,3.0,3.0,2,173,0,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,149900
35,527453150,120,RL,24.0,2280,1,No,3,Lvl,2,FR2,2,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0.0,2,2,CBlock,4.0,3.0,1,1,0.0,1,0.0,836.0,836.0,GasA,4,1,4,836,0,0,836,0.0,0.0,1,0,2,1,2,4,7,0,0.0,Attchd,1975.0,1,1.0,308.0,3.0,3.0,2,0,30,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,120000
36,527454200,160,RL,24.0,2280,1,No,3,Lvl,2,Inside,2,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0.0,2,2,CBlock,4.0,3.0,1,5,311.0,1,0.0,544.0,855.0,GasA,1,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,2,7,7,1,3.0,Attchd,1978.0,1,2.0,440.0,3.0,3.0,2,26,0,0,0,0,0,0.0,0,,0,7,2010,WD ,Normal,146000
37,528108120,60,RL,102.0,12858,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,4,2,PConc,5.0,3.0,1,1,0.0,1,0.0,1590.0,1590.0,GasA,4,1,4,1627,707,0,2334,0.0,0.0,2,1,3,1,4,10,7,1,4.0,Attchd,2009.0,3,3.0,751.0,3.0,3.0,2,144,133,0,0,0,0,0.0,0,,0,1,2010,New,Partial,376162
38,528112020,20,RL,98.0,11478,1,No,3,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,2,PConc,5.0,3.0,1,6,1218.0,1,0.0,486.0,1704.0,GasA,4,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,3,7,7,1,4.0,Attchd,2008.0,2,3.0,772.0,3.0,3.0,2,0,50,0,0,0,0,0.0,0,,0,5,2010,WD ,Normal,306000
39,528120060,20,RL,83.0,10159,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,4,2,PConc,5.0,3.0,3,6,1646.0,1,0.0,284.0,1930.0,GasA,4,1,4,1940,0,0,1940,1.0,0.0,2,1,3,1,4,8,7,1,4.0,Attchd,2010.0,3,3.0,606.0,3.0,3.0,2,168,95,0,0,0,0,0.0,0,,0,4,2010,New,Partial,395192
40,528120090,20,RL,94.0,12883,1,No,2,Lvl,2,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,3,2,PConc,4.0,3.0,1,1,0.0,1,0.0,1544.0,1544.0,GasA,4,1,4,1544,0,0,1544,0.0,0.0,2,0,3,1,3,7,7,0,0.0,Attchd,2009.0,2,3.0,868.0,3.0,3.0,2,0,35,0,0,0,0,0.0,0,,0,6,2010,New,Partial,290941
41,528120100,20,RL,95.0,12182,1,No,3,Lvl,2,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,3,2,PConc,4.0,3.0,2,4,1201.0,1,0.0,340.0,1541.0,GasA,4,1,4,1541,0,0,1541,0.0,0.0,2,0,3,1,3,7,7,1,4.0,Attchd,2005.0,2,2.0,532.0,3.0,3.0,2,0,70,0,0,0,0,0.0,0,,0,5,2010,New,Partial,220000
42,528120120,20,RL,90.0,11520,1,No,3,Lvl,2,Inside,2,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,3,2,PConc,5.0,3.0,1,6,110.0,1,0.0,1588.0,1698.0,GasA,4,1,4,1698,0,0,1698,0.0,0.0,2,0,3,1,4,7,7,1,4.0,Attchd,2005.0,3,3.0,730.0,3.0,3.0,2,192,74,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,275000
43,528138020,20,RL,79.0,14122,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,3,2,PConc,5.0,3.0,1,6,28.0,1,0.0,1794.0,1822.0,GasA,4,1,4,1822,0,0,1822,0.0,0.0,2,0,3,1,4,8,7,1,4.0,Attchd,2005.0,2,3.0,678.0,3.0,3.0,2,0,119,0,0,0,0,0.0,0,,0,2,2010,WD ,Normal,259000
44,528138060,20,RL,70.0,10171,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,3,2,PConc,4.0,3.0,1,6,2.0,1,0.0,1515.0,1517.0,GasA,4,1,4,1535,0,0,1535,0.0,0.0,2,0,3,1,3,7,7,0,0.0,Attchd,2004.0,2,2.0,532.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,3,2010,WD ,Normal,214000
45,528150070,20,RL,100.0,12919,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,4,2,PConc,5.0,3.0,4,6,2188.0,1,0.0,142.0,2330.0,GasA,4,1,4,2364,0,0,2364,1.0,0.0,2,1,2,1,4,11,7,2,4.0,Attchd,2009.0,3,3.0,820.0,3.0,3.0,2,0,67,0,0,0,0,0.0,0,,0,3,2010,New,Partial,611657
46,528175010,120,RL,44.0,6371,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,3,2,PConc,4.0,3.0,2,6,733.0,1,0.0,625.0,1358.0,GasA,4,1,4,1358,0,0,1358,1.0,0.0,2,0,2,1,3,6,7,1,4.0,Attchd,2010.0,2,2.0,484.0,3.0,3.0,2,192,35,0,0,0,0,0.0,0,,0,6,2010,New,Partial,224000
47,528176010,20,RL,110.0,14300,1,No,3,HLS,2,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,4,2,PConc,5.0,3.0,4,6,1373.0,1,0.0,1473.0,2846.0,GasA,4,1,4,2696,0,0,2696,1.0,0.0,2,1,3,1,4,10,7,2,4.0,Attchd,2003.0,3,3.0,958.0,3.0,3.0,2,220,150,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,500000
48,528176070,60,RL,105.0,13650,1,No,3,Lvl,2,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,3,2,PConc,4.0,3.0,4,6,578.0,1,0.0,1093.0,1671.0,GasA,4,1,4,1687,563,0,2250,1.0,0.0,2,1,3,1,3,7,7,1,5.0,Attchd,2002.0,3,3.0,756.0,3.0,3.0,2,238,130,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,320000
49,528180070,120,RL,61.0,7658,1,No,3,Lvl,2,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,4,2,PConc,5.0,3.0,1,6,456.0,1,0.0,1296.0,1752.0,GasA,4,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,4,6,7,1,4.0,Attchd,2005.0,2,2.0,576.0,3.0,3.0,2,196,82,0,0,0,0,0.0,0,,0,2,2010,WD ,Normal,319900
50,528181050,120,RL,41.0,7132,1,No,2,Lvl,2,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,3,2,PConc,4.0,3.0,2,6,24.0,1,0.0,1346.0,1370.0,GasA,4,1,4,1370,0,0,1370,0.0,0.0,2,0,2,1,3,6,7,1,4.0,Attchd,2006.0,2,2.0,484.0,3.0,3.0,2,120,49,0,0,0,0,0.0,0,,0,4,2010,WD ,Normal,205000
